id,laboratory_id,active_principle_id,"created_at","updated_at","nombre",cod_minsa,"concentracion","forma_farmaceutica","forma_farmaceutica_simp","presentacion"
3249,13,NULL,NULL,NULL,"PLENAIR 5",27136,"5 mg","Comprimido Masticable","TABLETA","Caja Envase Blíster Comprimidos"
3250,13,NULL,NULL,NULL,"AFEBRIL",27237,"100 mg/5 mL","Suspensión Oral","SUSPENSION","Frasco X 100 mL"
3251,13,NULL,NULL,NULL,"CORENTEL 10",27241,"10 mg","Comprimido Recubierto","TABLETA","Caja Envase Blíster Comprimidos"
3252,13,NULL,NULL,NULL,"DICLO K",27242,"15 mg/mL","Suspensión Oral","SUSPENSION","Caja Frasco Gotero x 15 mL"
3253,13,NULL,NULL,NULL,"EPOETINA ALFA",27244,"2000 UI/mL","Solución Inyectable","INYECTABLE","Caja Jeringa prellenada X 1 mL"
3254,13,NULL,NULL,NULL,"EPOETINA ALFA",27245,"4000 UI/mL","Solución Inyectable","INYECTABLE","Caja Jeringa prellenada X 1 mL"
3255,13,NULL,NULL,NULL,"ESPONTAL",27246,"0.4 mg","Cápsula de Liberación Prolongada","CAPSULA","Caja Envase Blister Cápsulas"
3256,13,NULL,NULL,NULL,"LOSACOR D",27249,"50 mg + 12.5 mg","Comprimido Recubierto","TABLETA","Caja Envase Blíster Comprimidos"
3257,13,NULL,NULL,NULL,"VIMAX 50",27255,"50 mg","Comprimido Recubierto","TABLETA","Caja Envase Blíster Comprimidos"
3258,13,NULL,NULL,NULL,"ATURAL 300",27257,"300 mg","Comprimido Recubierto","TABLETA","Caja Envase Blister Tabletas"
3259,13,NULL,NULL,NULL,"CIRIAX OTIC",27260,"","Suspensión Oral","SUSPENSION","Caja Frasco x 5 mL"
3260,13,NULL,NULL,NULL,"EZENTIUS",28638,"20 mg","Comprimido Recubierto","TABLETA","Caja Envase Blíster Comprimidos"
3261,13,NULL,NULL,NULL,"WINTAL",28672,"120 mg","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
3262,13,NULL,NULL,NULL,"COLUFASE",28673,"100 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Caja Frasco x 30 mL + Accesorio"
3263,13,NULL,NULL,NULL,"RONDIGAL",29211,"25 mg","Comprimido Recubierto","TABLETA","Caja Envase Blíster Comprimidos"
3264,13,NULL,NULL,NULL,"RONDIGAL",29213,"100 mg","Comprimido Recubierto","TABLETA","Caja Envase Blíster Comprimidos"
3265,13,NULL,NULL,NULL,"ACI TIP",29383,"800 mg + 40 mg","Comprimido Masticable","TABLETA","Caja Envase Blíster Comprimidos"
3269,13,NULL,NULL,NULL,"LANZOPRAL IV",30228,"30 mg","Polvo para Solución Inyectable","INYECTABLE","Caja vial"
3270,13,NULL,NULL,NULL,"BOTEMIB",30315,"3.5 mg","Polvo para Solución Inyectable","INYECTABLE","Caja Vial"
3271,13,NULL,NULL,NULL,"ICLACITIDINA",30375,"100 mg","Polvo para Solución Inyectable","INYECTABLE","Caja vial"
3272,13,NULL,NULL,NULL,"GOTABIOTIC PLUS",30493,"","Ungüento","UNGUENTO","Tubo X 3.5 g"
3273,13,NULL,NULL,NULL,"AMOXIDAL RESPIRATORIO DUO",30543,"875 mg + 60 mg","Comprimido Recubierto","TABLETA","Caja Envase Blíster Comprimidos"
3282,14,NULL,NULL,NULL,"SOLUCION POLIELECTROLITICA",24614,"","Solución Inyectable","INYECTABLE","Frasco X 1 L"
3283,14,NULL,NULL,NULL,"SULOP",24733,"15%","Solución Oftálmica","SOLUCION OFTALMICA","Frasco Gotero X 15 mL"
3284,14,NULL,NULL,NULL,"TIFOBIOTIC",24879,"500 mg","Cápsula","CAPSULA","Caja Envase Blister Tabletas"
3286,14,NULL,NULL,NULL,"ZOLIN",25374,"0.10%","Solución Oftálmica","SOLUCION OFTALMICA","Frasco X 15 mL"
3287,14,NULL,NULL,NULL,"QUITOSO PLUS",25421,"1%","Champú","CHAMPU","Frasco X 60 mL"
3288,14,NULL,NULL,NULL,"HIDROXIDO DE ALUMINIO + HIDROXIDO DE MAGNESIO",25444,"400 mg + 400 mg/5 mL","Suspensión Oral","SUSPENSION","Caja Frasco X 60 mL"
3290,14,NULL,NULL,NULL,"ERGOMETRINA",25501,"0.2 mg/mL","Solución Inyectable","INYECTABLE","Caja Ampolla x 1 mL"
3291,14,NULL,NULL,NULL,"FITOMENADIONA",25513,"10 mg/mL","Emulsión Inyectable","INYECTABLE","Caja Ampolla x 1 mL"
3292,14,NULL,NULL,NULL,"SULFAGNESIUM",25549,"20%","Solución Inyectable","INYECTABLE","Caja Ampolla x 5 mL"
3293,14,NULL,NULL,NULL,"METRONIDAZOL",25556,"500 mg","Solución Inyectable","INYECTABLE","Caja Vial X 100 mL"
3294,14,NULL,NULL,NULL,"METRONIDAZOL",25557,"500 mg","Ovulo","OVULO","Caja Envase Blister Ovulos"
3295,14,NULL,NULL,NULL,"NITROFURANTOINA",25563,"25 mg/5 mL","Suspensión Oral","SUSPENSION","Frasco x 30 mL"
3296,14,NULL,NULL,NULL,"BENZOATO DE BENCILO",25619,"25%","Loción","LOCION","Caja Frasco X 60 mL"
3297,14,NULL,NULL,NULL,"DOPAMINA",25630,"200 mg/5 mL","Solución Inyectable","INYECTABLE","Caja Ampolla x 5 mL"
3298,14,NULL,NULL,NULL,"FUROSEMIDA",25637,"20 mg/2 mL","Solución Inyectable","INYECTABLE","Caja Ampolla x 2 mL"
3299,14,NULL,NULL,NULL,"OXITOCINA",25655,"10 UI/mL","Solución Inyectable","INYECTABLE","Caja Ampolla x 1 mL"
3301,14,NULL,NULL,NULL,"GLUCONATO DE CALCIO",25702,"10%","Solución Inyectable","INYECTABLE","Ampolla X 10 mL"
3302,14,NULL,NULL,NULL,"MEDICILINA",25965,"1 000 000 UI","Suspensión Inyectable","INYECTABLE","Caja Vial + Ampolla Solvente"
3303,14,NULL,NULL,NULL,"ELECTRORAL PEDIATRICO SABOR A FRESA",26003,"","Solución Oral","SOLUCION","Frasco X 1 L"
3304,14,NULL,NULL,NULL,"HIDRAX SABOR MANZANA",26130,"","Solución Oral","SOLUCION","Frasco X 60 mL"
3305,14,NULL,NULL,NULL,"LECHE DE MAGNESIA PHILLIPS KIDS SABOR DURAZNO",26161,"400 mg/5 mL","Suspensión Oral","SUSPENSION","Frasco X 120 mL"
3306,14,NULL,NULL,NULL,"HALOPERIDOL",26276,"50 mg/mL","Solución Inyectable","INYECTABLE","Caja Ampolla x 1 mL"
3311,14,NULL,NULL,NULL,"ELECTRORAL NF SABOR A FRESA",26494,"","Solución Oral","SOLUCION","Frasco X 1 L"
3312,14,NULL,NULL,NULL,"TAXOMED",26635,"80 mg/2 mL","Concentrado para Solución para Perfusión","INYECTABLE","Caja Vial + Solvente"
3315,14,NULL,NULL,NULL,"AMOXIDIN CL",27441,"600 mg + 42.9 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Caja Frasco x 100 mL"
3318,14,NULL,NULL,NULL,"CRESULEN",27444,"90 mg","Ovulo","OVULO","Caja Envase Blister Ovulos"
3319,14,NULL,NULL,NULL,"ELECTRORAL NF SABOR A ANIS",27446,"","Solución Oral","SOLUCION","Caja Frasco X 1 L"
3320,14,NULL,NULL,NULL,"ELECTRORAL NF SABOR HIERBA LUISA",27447,"","Solución Oral","SOLUCION","Frasco X 1 L"
3321,14,NULL,NULL,NULL,"ELECTRORAL PEDIATRICO SABOR ANIS",27448,"","Solución Oral","SOLUCION","Frasco X 1 L"
3322,14,NULL,NULL,NULL,"ELECTRORAL PEDIATRICO SABOR UVA",27449,"","Solución Oral","SOLUCION","Frasco X 1 L"
3324,14,NULL,NULL,NULL,"GASEOVET MS",27452,"","Suspensión Oral","SUSPENSION","Frasco X 220 mL"
3325,14,NULL,NULL,NULL,"GASEOVET MS",27453,"","Tableta Masticable","TABLETA","Caja Envase Blister Tabletas"
3326,14,NULL,NULL,NULL,"GRIPA C MAXIMA POTENCIA",27454,"","Tableta","TABLETA","Caja Envase Blister Tabletas"
3328,14,NULL,NULL,NULL,"MEDIBIOT BALSAMICO",27458,"800 mg + 160 mg + 200 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
3329,14,NULL,NULL,NULL,"PHILLIPS SABOR A MENTA",27461,"","Suspensión Oral","SUSPENSION","Frasco X 120 mL"
3330,14,NULL,NULL,NULL,"SEVOGESIC",27464,"100%","Solución para Inhalación","AEROSOL","Caja Frasco x 250 mL"
3331,14,NULL,NULL,NULL,"SOJOURN",27465,"100%","Solución para Inhalación","AEROSOL","Caja Frasco x 250 mL"
3338,14,NULL,NULL,NULL,"CREMA DEL DR. ZAIDMAN",27797,"","Crema","CREMA","Envase X 100 g"
3339,14,NULL,NULL,NULL,"AKW-AGELAK",27988,"1%","Solución Oftálmica","SOLUCION OFTALMICA","Caja Frasco gotero x 20 mL"
3340,14,NULL,NULL,NULL,"DIFENAK",27997,"0.10%","Solución Oftálmica","SOLUCION OFTALMICA","Caja Frasco Gotero X 5 mL"
3341,14,NULL,NULL,NULL,"OLOPAK",27998,"0.20%","Solución Oftálmica","SOLUCION OFTALMICA","Caja Frasco Gotero X 5 mL"
3343,14,NULL,NULL,NULL,"AB BRONCOL NF 600",28100,"","Polvo para Suspensión Inyectable","INYECTABLE","Caja Vial + Solvente X 5 mL"
3349,14,NULL,NULL,NULL,"ANDREWS TRIPLE ACCION",28751,"1 g + 1.408 g + 60 mg /7.9 g","Polvo Efervescente para Solución Oral","POLVO","Caja Sobre X 7.9 g"
3350,14,NULL,NULL,NULL,"EVAKUA LIMONADA PURGANTE",28964,"3 g + 1.7 g + 2.5 mg/100 mL","Solución Oral","SOLUCION","Frasco X 200 mL"
3352,14,NULL,NULL,NULL,"AKAMOXX",29217,"0.50%","Solución Oftálmica","SOLUCION OFTALMICA","Caja Frasco Gotero X 5 mL"
3353,14,NULL,NULL,NULL,"AKA DILATE",29353,"10%","Solución Oftálmica","SOLUCION OFTALMICA","Frasco X 5 mL"
3354,14,NULL,NULL,NULL,"ERITROMICINA ETILSUCCINATO",29509,"250 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Frasco X 60 mL"
3355,14,NULL,NULL,NULL,"AMOXIDIN DUO 500",29620,"500 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Caja Frasco X 60 mL"
3383,14,NULL,NULL,NULL,"GRIPA C JUNIOR",30051,"","Tableta Masticable","TABLETA","Caja Envase Blister Tabletas"
3405,14,NULL,NULL,NULL,"BRONCO AMOXIDIN DUO",30301,"","Polvo para Suspensión Oral","SUSPENSION","Caja Frasco X 70 mL"
3406,14,NULL,NULL,NULL,"CEFABRONCOL DUO",30302,"","Polvo para Suspensión Oral","SUSPENSION","Caja Frasco X 75 mL"
3413,14,NULL,NULL,NULL,"HEPAFORT",30382,"","Solución Inyectable","INYECTABLE","Caja Ampolla x 2 mL"
3414,14,NULL,NULL,NULL,"LEVOCERT",30384,"5 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
3415,14,NULL,NULL,NULL,"LEVOCERT D",30385,"2.5 mg + 120 mg","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
3416,14,NULL,NULL,NULL,"MEDIBIOT BALSAMICO",30388,"4 g + 800 mg + 1 g","Suspensión Oral","SUSPENSION","Frasco X 100 mL"
3439,14,NULL,NULL,NULL,"AMOXIDIN DUO",30923,"875 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
3440,14,NULL,NULL,NULL,"BEN GAY",30953,"","Gel","JALEA","Tubo x 85 g"
3445,14,NULL,NULL,NULL,"AB BRONCOL NF 300",31144,"","Polvo para Suspensión Inyectable","INYECTABLE","Caja Vial + Solvente"
3461,14,NULL,NULL,NULL,"SITIDERM NF",31208,"","Crema","CREMA","Caja Tubo X 10 g"
3522,15,NULL,NULL,NULL,"NULYTELY",26139,"","Polvo para Solución Oral","SOLUCION","Caja Sobre x 109.6 g"
3523,15,NULL,NULL,NULL,"FLODIN",26347,"15 mg","Comprimido","TABLETA","Caja Envase Blíster Comprimidos"
3526,15,NULL,NULL,NULL,"CORRILAX",26350,"17 g","Polvo para Solución Oral","SOLUCION","Caja Sobre X 17 g"
3528,15,NULL,NULL,NULL,"ELIGARD",26352,"22.5 mg","Suspensión Inyectable","INYECTABLE","Caja vial"
3529,15,NULL,NULL,NULL,"NABILA",26353,"2.5 mg","Comprimido","TABLETA","Caja Envase Blíster Comprimidos"
3530,15,NULL,NULL,NULL,"NABILA",26355,"10 mg","Comprimido","TABLETA","Caja Envase Blíster Comprimidos"
3531,15,NULL,NULL,NULL,"PARMITAL",26356,"0.25 mg","Comprimido","TABLETA","Caja Envase Blíster Comprimidos"
3532,15,NULL,NULL,NULL,"PARMITAL",26357,"1 mg","Comprimido","TABLETA","Caja Envase Blíster Comprimidos"
3533,15,NULL,NULL,NULL,"ZOLTUM",26359,"20 mg","Comprimido Recubierto","TABLETA","Caja Envase Blíster Comprimidos"
3534,15,NULL,NULL,NULL,"IRRIGOR",27498,"30 mg","Comprimido Recubierto","TABLETA","Caja Envase Blíster Comprimidos"
3536,15,NULL,NULL,NULL,"RETEVEN",27560,"5 mg","Comprimido","TABLETA","Caja Envase Blíster Comprimidos"
3537,15,NULL,NULL,NULL,"IRRIGOR PLUS",27636,"100 mg + 30 mg","Comprimido Recubierto","TABLETA","Caja Envase Blíster Comprimidos"
3539,15,NULL,NULL,NULL,"PEMEKER",28703,"500 mg","Polvo para Solución Inyectable","INYECTABLE","Caja vial"
3540,15,NULL,NULL,NULL,"CLOFAZIC",29284,"1 mg/mL","Solución Inyectable","INYECTABLE","Caja Vial x 20 mL"
3541,16,NULL,NULL,NULL,"TUSSIS OM",27529,"30 mg/5 mL","Jarabe","SOLUCION","Caja Frasco x 100 mL"
3543,16,NULL,NULL,NULL,"BRONCHO VAXOM NIÑOS",28252,"","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
3545,16,NULL,NULL,NULL,"TUSSIS OM EXPECTORANTE",28254,"","Jarabe","SOLUCION","Caja Frasco x 100 mL"
3546,16,NULL,NULL,NULL,"DOXIPROCT PLUS",28813,"4 g + 2 g + 0.025 g","Pomada","UNGUENTO","Caja Tubo X 12 g + Accesorio"
3548,16,NULL,NULL,NULL,"DOXIPROCT",30820,"","Pomada","UNGUENTO","Caja Tubo X 12 g"
3549,17,NULL,NULL,NULL,"TRICONIDAZOL FORTE",24965,"1 g","Comprimido Recubierto","TABLETA","Caja Envase Blister Tabletas"
3551,17,NULL,NULL,NULL,"CINAGERON",26004,"","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
3553,17,NULL,NULL,NULL,"TRANSTEC 35 UG/H",26086,"35 µg/h","Parche Transdérmico","PARCHE","Caja Parche"
3554,17,NULL,NULL,NULL,"TRAMAL LONG",26188,"200 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
3555,17,NULL,NULL,NULL,"SUPRACYCLIN FORTE",26191,"100 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
3557,17,NULL,NULL,NULL,"TRAMAL LONG",26688,"100 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
3558,17,NULL,NULL,NULL,"CODIPRONT",27621,"","Suspensión Oral","SUSPENSION","Caja Frasco X 60 mL"
3559,17,NULL,NULL,NULL,"LEUMONT",30208,"100 mg","Comprimido","TABLETA","Caja Envase Blíster Comprimidos"
3572,17,NULL,NULL,NULL,"HORMORAL",30293,"200 mg","Cápsula Blanda","CAPSULA","Caja Envase Blister Cápsulas"
3573,18,NULL,NULL,NULL,"HIDROXIDO DE ALUMINIO + HIDROXIDO DE MAGNESIO",25984,"400 mg + 400 mg/5 mL","Suspensión Oral","SUSPENSION","Frasco X 120 mL"
3577,18,NULL,NULL,NULL,"MENTHOLFROST",28148,"","Ungüento","UNGUENTO","Pote X 30 g"
3589,18,NULL,NULL,NULL,"WELLPORT",28184,"","Jarabe","SOLUCION","Caja Frasco X 345 mL"
3593,18,NULL,NULL,NULL,"LAMIDIZOL",28319,"1%","Crema","CREMA","Tubo X 20 g"
3594,18,NULL,NULL,NULL,"DERMOMASS",30035,"1 g + 0.1 g + 0.04 g","Crema","CREMA","Tubo X 20 g"
3595,21,NULL,NULL,NULL,"BOTOX",25587,"100 U","Polvo para Solución Inyectable","INYECTABLE","Caja Vial"
3597,21,NULL,NULL,NULL,"FERANIN FOL",26508,"100 mg + 0.35 mg","Grageas","TABLETA","Caja Grageas"
3599,21,NULL,NULL,NULL,"DIFFERIN",27660,"0.30%","Gel","JALEA","Caja Tubo X 30 g"
3600,21,NULL,NULL,NULL,"PRECORTEN",27825,"5 mg","Comprimido","TABLETA","Caja Envase Blíster Comprimidos"
3602,21,NULL,NULL,NULL,"FRESH TEARS",29355,"0.50%","Solución Oftálmica","SOLUCION OFTALMICA","Frasco X 5 mL"
3604,21,NULL,NULL,NULL,"ERIQUILAB",30495,"250 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Caja Frasco X 60 mL"
3605,21,NULL,NULL,NULL,"QUIMIZOL",30805,"","Crema Vaginal","CREMA","Tubo X 60 g"
3609,22,NULL,NULL,NULL,"DEXALOR",28748,"10 mg + 2 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
3610,22,NULL,NULL,NULL,"BRONCO CLARIMAC",28809,"500 mg + 45 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
3611,22,NULL,NULL,NULL,"TOP-DEL FORTE",29097,"200 mg + 350 mg","Tableta Recubierta","TABLETA","Caja Envase Blíster Tabletas Recubiertas"
3612,22,NULL,NULL,NULL,"CLENXOL F",29100,"30 mg + 0.02 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
3613,22,NULL,NULL,NULL,"LANZO DEL",29101,"30 mg","Cápsula de Liberación Retardada","CAPSULA","Caja Envase Blister Tabletas"
3614,22,NULL,NULL,NULL,"RYNA DEL",30448,"5 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
3615,23,NULL,NULL,NULL,"CLINDAMICINA",26423,"600 mg/4 mL","Solución Inyectable","INYECTABLE","Caja Ampolla X 4 mL"
3616,23,NULL,NULL,NULL,"GENTAMICINA",26424,"160 mg/2 mL","Solución Inyectable","INYECTABLE","Caja Ampolla x 2 mL"
3617,23,NULL,NULL,NULL,"GENTAMICINA",26425,"80 mg/2 mL","Solución Inyectable","INYECTABLE","Caja Ampolla x 2 mL"
3618,23,NULL,NULL,NULL,"MUVETT",26438,"50 mg/5 mL","Solución Inyectable","INYECTABLE","Caja Ampolla x 5 mL"
3619,23,NULL,NULL,NULL,"N-BUTILBROMURO DE HIOSCINA",26439,"20 mg/mL","Solución Inyectable","INYECTABLE","Caja Ampolla x 1 mL"
3624,23,NULL,NULL,NULL,"MEROPENEM",28496,"1 g","Polvo para Solución Inyectable","INYECTABLE","Caja Vial"
3625,23,NULL,NULL,NULL,"EZOLIUM",28945,"40 mg","Comprimido Gastrorresistente","TABLETA","Caja Envase Blister Tabletas"
3626,23,NULL,NULL,NULL,"EZOLIUM",28946,"20 mg","Tableta Recubierta de Liberación Prolongada","TABLETA","Caja Envase Blister Tabletas"
3628,23,NULL,NULL,NULL,"BETADUO 2",29245,"10 mg + 4 mg","Suspensión Inyectable","INYECTABLE","Caja X Jeringa Prellenada X 1 mL"
3629,23,NULL,NULL,NULL,"BETADUO",29246,"5 mg + 2 mg","Suspensión Inyectable","INYECTABLE","Caja X Jeringa Prellenada X 2 mL"
3630,23,NULL,NULL,NULL,"LEVALER",29249,"2.5 mg/5 mL","Jarabe","SOLUCION","Caja Frasco x 120 mL"
3631,23,NULL,NULL,NULL,"TUSICLOX",29250,"35.4 mg/5 mL","Suspensión Oral","SUSPENSION","Caja Frasco x 120 mL"
3633,23,NULL,NULL,NULL,"CEFEPIMA",29294,"1 g","Polvo para Solución Inyectable","INYECTABLE","Caja Vial"
3635,23,NULL,NULL,NULL,"LAGRIFRESH",29369,"3 mg + 1 mg/mL","Solución Oftálmica","SOLUCION OFTALMICA","Frasco X 15 mL"
3637,23,NULL,NULL,NULL,"CLENOX",30000,"40 mg/0.4 mL","Solución Inyectable","INYECTABLE","Caja Jeringa prellenada X 0.4 mL"
3643,24,NULL,NULL,NULL,"AZOQUIN",28652,"400 mg + 100 mg","Cápsula","CAPSULA","Caja Dispensadora Tabletas"
3644,24,NULL,NULL,NULL,"DOLALIVIO",28656,"1%","Gel","JALEA","Caja Tubo X 50 g"
3645,24,NULL,NULL,NULL,"LOPEFAN",28659,"2 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
3646,24,NULL,NULL,NULL,"MELIXIN",28663,"15 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
3647,24,NULL,NULL,NULL,"ZYCOT COMPUESTO",28992,"","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas Recubiertas"
3648,24,NULL,NULL,NULL,"KLARITPHARMA",28993,"500 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
3649,24,NULL,NULL,NULL,"IRRIGEN PLUS",28996,"30 mg + 100 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
3650,24,NULL,NULL,NULL,"ZITROBAC PEDIATRICO",28998,"200 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Frasco x 30 mL"
3651,24,NULL,NULL,NULL,"SULPHYTRIM BALSAMICO FORTE",29165,"800 mg + 160 mg + 200 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
3652,24,NULL,NULL,NULL,"MISOPROLEN",30028,"200 µg","Tableta","TABLETA","Caja Envase Blister Tabletas"
3653,25,NULL,NULL,NULL,"IBUSOFT",27991,"400 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
3658,25,NULL,NULL,NULL,"FOSEAL 800",28458,"800 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
3663,26,NULL,NULL,NULL,"PIRIDOXINA CLORHIDRATO",27824,"300 mg/3 mL","Solución Inyectable","INYECTABLE","Caja Ampolla x 3 mL"
3666,26,NULL,NULL,NULL,"FOSFATOS DE POTASIO",28912,"","Concentrado para Solución para Perfusión","INYECTABLE","Caja Ampolla x 20 mL"
3667,26,NULL,NULL,NULL,"LIDOCAINA 2 % CON EPINEFRINA SIN PRESERVANTE",29391,"2%","Solución Inyectable","INYECTABLE","Caja Vial x 20 mL"
3671,26,NULL,NULL,NULL,"AMPICILINA + SULBACTAM",31067,"1 g + 0.5 g","Polvo para Solución Inyectable","INYECTABLE","Caja Vial"
3673,26,NULL,NULL,NULL,"FOSFATOS DE POTASIO",31483,"0.544 g + 1.394 g","Concentrado para Solución para Perfusión","INYECTABLE","Caja Ampolla x 20 mL"
3674,27,NULL,NULL,NULL,"CEFUROXIMA",25467,"500 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
3675,27,NULL,NULL,NULL,"METAMIZOL SODICO",26108,"1 g/2 mL","Solución Inyectable","INYECTABLE","Caja Ampolla x 2 mL"
3676,27,NULL,NULL,NULL,"CLORFENAMINA",27868,"10 mg/mL","Solución Inyectable","INYECTABLE","Caja Ampolla x 1 mL"
3677,27,NULL,NULL,NULL,"CLORURO DE SODIO",28684,"0.90%","Solución Inyectable","INYECTABLE","Caja Ampolla X 10 mL"
3678,27,NULL,NULL,NULL,"DEXAMETASONA SODIO FOSFATO",29011,"4 mg/mL","Solución Inyectable","INYECTABLE","Caja Ampolla x 1 mL"
3679,27,NULL,NULL,NULL,"METOCLOPRAMIDA",29174,"10 mg/2 mL","Solución Inyectable","INYECTABLE","Caja Ampolla x 2 mL"
3680,27,NULL,NULL,NULL,"FITOMENADIONA",29320,"10 mg/mL","Solución Inyectable","INYECTABLE","Caja Ampolla x 1 mL"
3681,27,NULL,NULL,NULL,"OXITOCINA",29489,"10 UI/mL","Solución Inyectable","INYECTABLE","Caja Ampolla x 1 mL"
3694,27,NULL,NULL,NULL,"ATROPINA SULFATO",30854,"1 mg/mL","Solución Inyectable","INYECTABLE","Caja Ampolla x 1 mL"
3699,27,NULL,NULL,NULL,"GENTAMICINA",31392,"160 mg/2 mL","Solución Inyectable","INYECTABLE","Caja Ampolla x 2 mL"
3700,28,NULL,NULL,NULL,"AMINOVEN INFANT",25446,"10%","Solución Inyectable","INYECTABLE","Caja Frasco X 250 mL"
3701,28,NULL,NULL,NULL,"NEPHROSTERIL",25610,"0.07%","Solución Inyectable","INYECTABLE","Caja Frasco X 250 mL"
3703,28,NULL,NULL,NULL,"CLORURO DE SODIO",26651,"0.90%","Solución Inyectable","INYECTABLE","Caja Ampolla x 20 mL"
3712,28,NULL,NULL,NULL,"GENTAMICINA",29013,"80 mg/2 mL","Solución Inyectable","INYECTABLE","Caja Ampolla x 2 mL"
3713,28,NULL,NULL,NULL,"POLIGELINA",29618,"3.50%","Solución Inyectable","INYECTABLE","Frasco X 500 mL"
3762,29,NULL,NULL,NULL,"TRIO VAL NF",26343,"500 mg + 2 mg + 5 mg","Comprimido Recubierto","TABLETA","Caja Envase Blíster Comprimidos"
3764,30,NULL,NULL,NULL,"AMOXICLIN",28843,"250 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Frasco x 120 mL"
3765,30,NULL,NULL,NULL,"MUCOBIOTIC COMPUESTO",28897,"","Jarabe","SOLUCION","Frasco x 120 mL"
3766,30,NULL,NULL,NULL,"URO CIPROXIL 500",28899,"500 mg + 100 mg","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
3768,30,NULL,NULL,NULL,"KASTMAR",29071,"10 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
3770,30,NULL,NULL,NULL,"MIXEL",29073,"500 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
3771,30,NULL,NULL,NULL,"MIXEL",29074,"2%","Polvo para Suspensión Oral","SUSPENSION","Caja Frasco X 30 mL"
3773,30,NULL,NULL,NULL,"ACEMUK 200",30179,"200 mg","Comprimido Efervescente","TABLETA","Caja Envase Blíster Comprimidos"
3775,30,NULL,NULL,NULL,"ACEMUK 600",30181,"600 mg","Comprimido Efervescente","TABLETA","Caja Envase Blíster Comprimidos"
3777,30,NULL,NULL,NULL,"ACEMUK",30183,"2 g/100 mL","Granulos para Suspensión Oral","GRANULOS","Frasco X 100 mL"
3778,30,NULL,NULL,NULL,"KASTMAR",30186,"5 mg","Tableta Masticable","TABLETA","Caja Envase Blister Tabletas"
3780,30,NULL,NULL,NULL,"MERITAL",30188,"10 mg","Comprimido Recubierto","TABLETA","Caja Envase Blíster Comprimidos"
3782,30,NULL,NULL,NULL,"MOMETAX",30190,"0.10%","Crema","CREMA","Caja tubo x 5 g"
3785,30,NULL,NULL,NULL,"SESAREN XR",30193,"150 mg","Cápsula de Liberación Prolongada","CAPSULA","Caja Envase Blister Cápsulas"
3787,30,NULL,NULL,NULL,"FRENALER",30195,"2.5 mg/5 mL","Jarabe","SOLUCION","Frasco X 60 mL"
3788,30,NULL,NULL,NULL,"FRENALER",30196,"5 mg","Comprimido Recubierto","TABLETA","Caja Envase Blíster Comprimidos"
3790,30,NULL,NULL,NULL,"ACEMUK L",30198,"100 mg + 8 mg + 1 mg","Comprimido de Disolución Bucal","TABLETA","Caja Envase Blíster Comprimidos"
3793,31,NULL,NULL,NULL,"DEXTRO LUSA",26378,"33.33%","Solución Inyectable","INYECTABLE","Caja Ampolla x 20 mL"
3794,31,NULL,NULL,NULL,"RHINO DAZOL",27519,"0.5 mg/mL","Solución Nasal","AEROSOL","Caja Frasco Gotero X 15 mL"
3795,31,NULL,NULL,NULL,"LIDOCAINA 2 % CON EPINEFRINA SIN PRESERVANTE",27815,"2%","Solución Inyectable","INYECTABLE","Caja Vial x 20 mL"
